Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D_Small,D_SOD-123,32.30625,-27.675,0.0,bottom
D10,D_Small,D_SOD-123,215.9,-27.71875,90.0,bottom
D11,D_Small,D_SOD-123,234.95,-27.71875,90.0,bottom
D12,D_Small,D_SOD-123,254.10625,-27.675,90.0,bottom
D13,D_Small,D_SOD-123,273.40625,-27.625,90.0,bottom
D14,D_Small,D_SOD-123,288.95625,-25.375,180.0,bottom
D15,D_Small,D_SOD-123,35.71875,-46.83125,90.0,bottom
D16,D_Small,D_SOD-123,59.53125,-46.83125,90.0,bottom
D17,D_Small,D_SOD-123,78.58125,-46.83125,90.0,bottom
D18,D_Small,D_SOD-123,97.63125,-46.83125,90.0,bottom
D19,D_Small,D_SOD-123,116.68125,-46.83125,90.0,bottom
D2,D_Small,D_SOD-123,55.10625,-31.275,90.0,bottom
D20,D_Small,D_SOD-123,135.73125,-46.83125,90.0,bottom
D21,D_Small,D_SOD-123,168.275,-46.76875,90.0,bottom
D22,D_Small,D_SOD-123,187.325,-46.76875,90.0,bottom
D23,D_Small,D_SOD-123,206.375,-46.76875,90.0,bottom
D24,D_Small,D_SOD-123,225.425,-46.76875,90.0,bottom
D25,D_Small,D_SOD-123,244.475,-46.76875,90.0,bottom
D26,D_Small,D_SOD-123,263.525,-46.76875,90.0,bottom
D27,D_Small,D_SOD-123,282.575,-46.76875,90.0,bottom
D28,D_Small,D_SOD-123,302.06625,-55.955,180.0,bottom
D29,D_Small,D_SOD-123,38.1,-65.88125,90.0,bottom
D3,D_Small,D_SOD-123,74.20625,-31.375,90.0,bottom
D30,D_Small,D_SOD-123,64.29375,-65.88125,90.0,bottom
D31,D_Small,D_SOD-123,83.34375,-65.88125,90.0,bottom
D32,D_Small,D_SOD-123,102.39375,-65.88125,90.0,bottom
D33,D_Small,D_SOD-123,121.44375,-65.88125,90.0,bottom
D34,D_Small,D_SOD-123,140.49375,-65.88125,90.0,bottom
D35,D_Small,D_SOD-123,173.0375,-65.81875,90.0,bottom
D36,D_Small,D_SOD-123,192.0875,-65.81875,90.0,bottom
D37,D_Small,D_SOD-123,211.1375,-65.81875,90.0,bottom
D38,D_Small,D_SOD-123,230.1875,-65.81875,90.0,bottom
D39,D_Small,D_SOD-123,249.2375,-65.81875,90.0,bottom
D4,D_Small,D_SOD-123,93.30625,-31.275,90.0,bottom
D40,D_Small,D_SOD-123,268.2875,-65.81875,90.0,bottom
D41,D_Small,D_SOD-123,287.3375,-65.81875,90.0,bottom
D42,D_Small,D_SOD-123,33.3375,-84.93125,90.0,bottom
D43,D_Small,D_SOD-123,54.76875,-84.93125,90.0,bottom
D44,D_Small,D_SOD-123,73.81875,-84.93125,90.0,bottom
D45,D_Small,D_SOD-123,92.86875,-84.93125,90.0,bottom
D46,D_Small,D_SOD-123,111.91875,-84.93125,90.0,bottom
D47,D_Small,D_SOD-123,130.96875,-84.93125,90.0,bottom
D48,D_Small,D_SOD-123,150.01875,-84.93125,90.0,bottom
D49,D_Small,D_SOD-123,182.5625,-84.86875,90.0,bottom
D5,D_Small,D_SOD-123,112.30625,-31.275,90.0,bottom
D50,D_Small,D_SOD-123,201.6125,-84.86875,90.0,bottom
D51,D_Small,D_SOD-123,220.6625,-84.86875,90.0,bottom
D52,D_Small,D_SOD-123,239.7125,-84.86875,90.0,bottom
D53,D_Small,D_SOD-123,258.7625,-84.86875,90.0,bottom
D54,D_Small,D_SOD-123,287.53625,-84.905,90.0,bottom
D55,D_Small,D_SOD-123,306.67625,-84.905,90.0,bottom
D56,D_Small,D_SOD-123,33.3375,-103.98125,90.0,bottom
D57,D_Small,D_SOD-123,57.15,-103.98125,90.0,bottom
D58,D_Small,D_SOD-123,80.9625,-103.98125,90.0,bottom
D59,D_Small,D_SOD-123,135.90625,-104.075,90.0,bottom
D6,D_Small,D_SOD-123,131.40625,-31.275,90.0,bottom
D60,D_Small,D_SOD-123,193.70625,-103.875,90.0,bottom
D61,D_Small,D_SOD-123,222.40625,-103.875,90.0,bottom
D62,D_Small,D_SOD-123,241.30625,-103.875,90.0,bottom
D63,D_Small,D_SOD-123,268.517676,-103.895,90.0,bottom
D64,D_Small,D_SOD-123,287.597676,-103.895,90.0,bottom
D65,D_Small,D_SOD-123,306.637676,-103.895,90.0,bottom
D66,D_Small,D_SOD-123,104.90625,-103.975,90.0,bottom
D7,D_Small,D_SOD-123,145.25625,-27.84375,90.0,bottom
D8,D_Small,D_SOD-123,177.8,-27.71875,90.0,bottom
D9,D_Small,D_SOD-123,196.85,-27.71875,90.0,bottom
DEL1,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,302.725,-78.84945,0.0,bottom
MX1,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,27.305,-21.76195,0.0,bottom
MX10,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,212.24875,-21.69945,0.0,bottom
MX11,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,231.29875,-21.69945,0.0,bottom
MX12,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,250.34875,-21.69945,0.0,bottom
MX13,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,269.39875,-21.69945,0.0,bottom
MX14,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,297.97375,-22.39945,0.0,bottom
MX15,MX_SW_HS,SW_MX_HS_CPG151101S11_1.5u,32.0675,-40.81195,0.0,bottom
MX16,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,55.88,-40.81195,0.0,bottom
MX17,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,74.93,-40.81195,0.0,bottom
MX18,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,93.98,-40.81195,0.0,bottom
MX19,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,113.03,-40.81195,0.0,bottom
MX2,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,46.355,-21.76195,0.0,bottom
MX20,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,132.08,-40.81195,0.0,bottom
MX21,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,164.62375,-40.74945,0.0,bottom
MX22,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,183.67375,-40.74945,0.0,bottom
MX23,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,202.72375,-40.74945,0.0,bottom
MX24,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,221.77375,-40.74945,0.0,bottom
MX25,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,240.82375,-40.74945,0.0,bottom
MX26,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,259.87375,-40.74945,0.0,bottom
MX27,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,278.92375,-40.74945,0.0,bottom
MX28,MX_SW_HS,SW_MX_HS_CPG151101S11_1.75u,34.44875,-59.86195,0.0,bottom
MX29,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,60.6425,-59.86195,0.0,bottom
MX3,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,65.405,-21.76195,0.0,bottom
MX30,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,79.6925,-59.86195,0.0,bottom
MX31,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,98.7425,-59.86195,0.0,bottom
MX32,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,117.7925,-59.86195,0.0,bottom
MX33,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,136.8425,-59.86195,0.0,bottom
MX34,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,169.38625,-59.79945,0.0,bottom
MX35,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,188.43625,-59.79945,0.0,bottom
MX36,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,207.48625,-59.79945,0.0,bottom
MX37,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,226.53625,-59.79945,0.0,bottom
MX38,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,245.58625,-59.79945,0.0,bottom
MX39,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,264.63625,-59.79945,0.0,bottom
MX4,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,84.455,-21.76195,0.0,bottom
MX40,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,283.68625,-59.79945,0.0,bottom
MX41,MX_SW_HS,SW_MX_HS_CPG151101S11_1.25u,29.68625,-78.91195,0.0,bottom
MX42,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,51.1175,-78.91195,0.0,bottom
MX43,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,70.1675,-78.91195,0.0,bottom
MX44,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,89.2175,-78.91195,0.0,bottom
MX45,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,108.2675,-78.91195,0.0,bottom
MX46,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,127.3175,-78.91195,0.0,bottom
MX47,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,146.3675,-78.91195,0.0,bottom
MX48,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,178.91125,-78.84945,0.0,bottom
MX49,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,197.96125,-78.84945,0.0,bottom
MX5,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,103.505,-21.76195,0.0,bottom
MX50,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,217.01125,-78.84945,0.0,bottom
MX51,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,236.06125,-78.84945,0.0,bottom
MX52,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,255.11125,-78.84945,0.0,bottom
MX53,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,283.685,-78.84945,0.0,bottom
MX54,MX_SW_HS,SW_MX_HS_CPG151101S11_1.25u,29.68625,-97.96195,0.0,bottom
MX55,MX_SW_HS,SW_MX_HS_CPG151101S11_1.25u,53.49875,-97.96195,0.0,bottom
MX56,MX_SW_HS,SW_MX_HS_CPG151101S11_1.25u,77.31125,-97.96195,0.0,bottom
MX57,MX_SW_HS,SW_MX_HS_CPG151101S11_1.25u,132.07125,-98.00695,0.0,bottom
MX58,MX_SW_HS,SW_MX_HS_CPG151101S11_1.25u,188.45625,-97.90695,0.0,bottom
MX59,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,217.05125,-97.90695,0.0,bottom
MX6,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,122.555,-21.76195,0.0,bottom
MX60,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,236.10125,-97.90695,0.0,bottom
MX61,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,264.646426,-97.90695,0.0,bottom
MX62,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,283.685,-97.90695,0.0,bottom
MX63,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,302.725,-97.90695,0.0,bottom
MX64,MX_SW_HS,SW_MX_HS_CPG151101S11_1.25u,101.106426,-98.00695,0.0,bottom
MX7,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,141.605,-21.76195,0.0,bottom
MX8,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,174.14875,-21.69945,0.0,bottom
MX9,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,193.19875,-21.69945,0.0,bottom
R1,4.7k,R_0402_1005Metric,36.86625,-17.775,0.0,bottom
R2,4.7k,R_0402_1005Metric,39.95625,-17.775,0.0,bottom
enter1,MX_SW_HS,SW_MX_HS_CPG151101S11_1.25u,308.12055,-52.0075,90.0,bottom
